JUDUL,KATEGORI,tokens,stopwords,stemmed
gerakan anak muda dan politik musiman,Politik,"['gerakan', 'anak', 'muda', 'dan', 'politik', 'musiman']","['gerakan', 'anak', 'muda', 'politik', 'musiman']",gera anak muda politik musim
golkar nilai koalisi permanen masuk ruu pemilu akan batasi komunikasi politik,Politik,"['golkar', 'nilai', 'koalisi', 'permanen', 'masuk', 'ruu', 'pemilu', 'akan', 'batasi', 'komunikasi', 'politik']","['golkar', 'nilai', 'koalisi', 'permanen', 'masuk', 'ruu', 'pemilu', 'batasi', 'komunikasi', 'politik']",golkar nilai koalisi permanen masuk ruu milu batas komunikasi politik
keistimewaan demokrasi indonesia,Politik,"['keistimewaan', 'demokrasi', 'indonesia']","['keistimewaan', 'demokrasi', 'indonesia']",istimewa demokrasi indonesia
mobil ditembaki capres peru lolos dari upaya pembunuhan,Politik,"['mobil', 'ditembaki', 'capres', 'peru', 'lolos', 'dari', 'upaya', 'pembunuhan']","['mobil', 'ditembaki', 'capres', 'peru', 'lolos', 'upaya', 'pembunuhan']",mobil tembak capres peru lolos upaya bunuh
ineu ajak perempuan muda berani masuk dunia politik,Politik,"['ineu', 'ajak', 'perempuan', 'muda', 'berani', 'masuk', 'dunia', 'politik']","['ineu', 'ajak', 'perempuan', 'muda', 'berani', 'masuk', 'dunia', 'politik']",ineu ajak perempuan muda berani masuk dunia politik
puan soroti peran legislator sebagai jembatan politik dan ilmu pengetahuan,Politik,"['puan', 'soroti', 'peran', 'legislator', 'sebagai', 'jembatan', 'politik', 'dan', 'ilmu', 'pengetahuan']","['puan', 'soroti', 'peran', 'legislator', 'jembatan', 'politik', 'ilmu', 'pengetahuan']",puan sorot peran legislator jembatan politik ilmu tahu
momen petinggi parpol non parlemen kumpul di kediaman oso,Politik,"['momen', 'petinggi', 'parpol', 'non', 'parlemen', 'kumpul', 'di', 'kediaman', 'oso']","['momen', 'petinggi', 'parpol', 'non', 'parlemen', 'kumpul', 'kediaman', 'oso']",momen petinggi parpol non parlemen kumpul diam oso
pakai sarungpeci kaesang sowan ke cak imin di dpp pkb,Politik,"['pakai', 'sarungpeci', 'kaesang', 'sowan', 'ke', 'cak', 'imin', 'di', 'dpp', 'pkb']","['pakai', 'sarungpeci', 'kaesang', 'sowan', 'cak', 'imin', 'dpp', 'pkb']",pakai sarungpeci kaesang sowan cak imin dpp pkb
relawan prabowogibran penuhi stadion gelora delta sidoarjo,Politik,"['relawan', 'prabowogibran', 'penuhi', 'stadion', 'gelora', 'delta', 'sidoarjo']","['relawan', 'prabowogibran', 'penuhi', 'stadion', 'gelora', 'delta', 'sidoarjo']",rawan prabowogibran penuh stadion gelora delta sidoarjo
begini situasi kampanye akbar ganjar pranowo di gor delta sidoarjo,Politik,"['begini', 'situasi', 'kampanye', 'akbar', 'ganjar', 'pranowo', 'di', 'gor', 'delta', 'sidoarjo']","['situasi', 'kampanye', 'akbar', 'ganjar', 'pranowo', 'gor', 'delta', 'sidoarjo']",situasi kampanye akbar ganjar pranowo gor delta sidoarjo
giliran nelayan brebes yang curhat ke ganjar,Politik,"['giliran', 'nelayan', 'brebes', 'yang', 'curhat', 'ke', 'ganjar']","['giliran', 'nelayan', 'brebes', 'curhat', 'ganjar']",gilir nelayan brebes curhat ganjar
pakar politik ujang komarudin launching literasi politik indonesia untuk pemuda,Politik,"['pakar', 'politik', 'ujang', 'komarudin', 'launching', 'literasi', 'politik', 'indonesia', 'untuk', 'pemuda']","['pakar', 'politik', 'ujang', 'komarudin', 'launching', 'literasi', 'politik', 'indonesia', 'pemuda']",pakar politik ujang komarudin launching literasi politik indonesia pemuda
sudah setahun lebih pdip belum putuskan nasib eks napi di dprd sumut,Politik,"['sudah', 'setahun', 'lebih', 'pdip', 'belum', 'putuskan', 'nasib', 'eks', 'napi', 'di', 'dprd', 'sumut']","['setahun', 'pdip', 'putuskan', 'nasib', 'eks', 'napi', 'dprd', 'sumut']",tahun pdip putus nasib eks napi dprd sumut
buka koferdakonfercab pdip kepri djarot berpartai bukan mencari uang,Politik,"['buka', 'koferdakonfercab', 'pdip', 'kepri', 'djarot', 'berpartai', 'bukan', 'mencari', 'uang']","['buka', 'koferdakonfercab', 'pdip', 'kepri', 'djarot', 'berpartai', 'mencari', 'uang']",buka koferdakonfercab pdip kepri djarot partai cari uang
video sby keadaan dunia saat ini tidak baik berbahaya,Politik,"['video', 'sby', 'keadaan', 'dunia', 'saat', 'ini', 'tidak', 'baik', 'berbahaya']","['video', 'sby', 'dunia', 'berbahaya']",video sby dunia bahaya
abdul wahid gubernur riau ke terjaring ott kpk,Politik,"['abdul', 'wahid', 'gubernur', 'riau', 'ke', 'terjaring', 'ott', 'kpk']","['abdul', 'wahid', 'gubernur', 'riau', 'terjaring', 'ott', 'kpk']",abdul wahid gubernur riau jaring ott kpk
ketua dpd ri saatnya anak muda ubah paradigma politik tak selalu kotor,Politik,"['ketua', 'dpd', 'ri', 'saatnya', 'anak', 'muda', 'ubah', 'paradigma', 'politik', 'tak', 'selalu', 'kotor']","['ketua', 'dpd', 'ri', 'anak', 'muda', 'ubah', 'paradigma', 'politik', 'kotor']",ketua dpd ri anak muda ubah paradigma politik kotor
hukum politik dan akal sehat digital,Politik,"['hukum', 'politik', 'dan', 'akal', 'sehat', 'digital']","['hukum', 'politik', 'akal', 'sehat', 'digital']",hukum politik akal sehat digital
ketua dpd dorong pemuda berpolitik kedepankan nilai budaya  jaga reputasi,Politik,"['ketua', 'dpd', 'dorong', 'pemuda', 'berpolitik', 'kedepankan', 'nilai', 'budaya', 'jaga', 'reputasi']","['ketua', 'dpd', 'dorong', 'pemuda', 'berpolitik', 'kedepankan', 'nilai', 'budaya', 'jaga', 'reputasi']",ketua dpd dorong pemuda politik depan nilai budaya jaga reputasi
 komisioner kpu majalengka disanksi peringatan keras oleh dkpp,Politik,"['komisioner', 'kpu', 'majalengka', 'disanksi', 'peringatan', 'keras', 'oleh', 'dkpp']","['komisioner', 'kpu', 'majalengka', 'disanksi', 'peringatan', 'keras', 'dkpp']",komisioner kpu majalengka sanksi ingat keras dkpp
